                      (*)   mesure a 300k
                      (**)  isomere le plus stable
                      (***) enthalpie inconnue
87 88 h       h       h2                             5.00e-17  0.5      0.00   0 !
  -                   -
  -                   - cosmic-ray direct processes
  -                   -
jan11 h2      crp     h       h                      1.00E-01   .00      .00   1 !     0     0 -  osu_09_2010_ht
jan11 h       crp     h+      electr                 4.60E-01   .00      .00   1 !     0     0 -  osu_09_2010_ht
jan11 h2      crp     h+      h       electr         4.00E-02   .00      .00   1 !     0     0 -  PDR chimie08 (Dalgarno)
jan11 h2      crp     h2+     electr                 9.60E-01   .00      .00   1 !     0     0 -  PDR chimie08 (Dalgarno)
jan11 he      crp     he+     electr                 5.00E-01   .00      .00   1 !     0     0 -  osu_09_2010_ht
jan11 c       crp     c+      electr                 1.80E+00   .00      .00   1 !     0     0 -  udfa06
jan11 o       crp     o+      electr                 2.80E+00   .00      .00   1 !     0     0 -  osu_09_2010_ht
jan11 n       crp     n+      electr                 2.10E+00   .00      .00   1 !     0     0 -  osu_09_2010_ht
aug13 s       crp     s+      electr                 2.80E+00   .00      .00   1 !     0     0 -  s taken from o
nov13 fe      crp     fe+     electr                 5.00E-01   .00      .00   1 !     0     0 -  arbitrary - same as ne
jan11 co      crp     co+     electr                 3.00E+00   .00      .00   1 !     0     0 -  udfa06
  -                   -
  -                   - cosmic-ray induced photoprocesses
  -                   -
anh16 c       phosec  c+      electr                 2.60E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c2      phosec  c       c                      1.83E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c2      phosec  c2+     electr                 2.46E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c2h     phosec  c2      h                      1.11E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c2h2    phosec  c2h     h                      3.54E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c2h2    phosec  c2h2+   electr                 3.83E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c2h4    phosec  c2h2    h2                     3.46E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c2h4    phosec  c2h4+   electr                 2.84E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c3      phosec  c2      c                      6.88E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 c3      phosec  c3+     electr                 8.93E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch      phosec  c       h                      1.08E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch      phosec  ch+     electr                 5.78E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch+     phosec  c+      h                      2.16E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch2     phosec  ch      h                      2.90E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch2+    phosec  ch+     h                      8.88E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch3     phosec  ch2     h                      1.42E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch3     phosec  ch      h2                     1.42E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch3     phosec  ch3+    electr                 3.79E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch3oh   phosec  oh      ch3                    5.15E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch3oh   phosec  h2co    h2                     1.08E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch3oh   phosec  h3co+   h       electr         1.27E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch3oh   phosec  ch3oh+  electr                 2.28E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch4     phosec  ch2     h2                     1.53E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch4     phosec  ch4+    electr                 2.24E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ch4+    phosec  ch3+    h                      2.68E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 cn      phosec  n       c                      4.51E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 cn      phosec  cn+     electr                 8.31E+00  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 co      phosec  o       c                      4.62E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 co      phosec  co+     electr                 1.42E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 co+     phosec  c+      o                      7.73E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 co2     phosec  co      o                      5.98E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 co2     phosec  co2+    electr                 8.16E+00  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 cs      phosec  s       c                      1.93E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 cs      phosec  cs+     electr                 2.04E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 fe      phosec  fe+     electr                 4.81E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h2+     phosec  h       h+                     6.08E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h2co    phosec  co      h2                     1.32E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 h2co    phosec  h2co+   electr                 2.93E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
